deviceid,lat,lng,mapid,scale,start,end,duration
100,0.196932545358871,-0.25634763589297,actlab,27,1492590595874,1492590605265,9391
100,0.23390517865718,-0.229624344655896,actlab,27,1492590605265,1492590633427,28162
100,0.192589305207544,-0.229583379955447,actlab,27,1492590633427,1492590636361,2934
100,0.231526348228068,-0.23723645990177,actlab,27,1492590636361,1492590651615,15254
100,0.207217315164349,-0.267812018182741,actlab,27,1492590651615,1492590681541,29926
100,0.235717676588633,-0.242863228680115,actlab,27,1492590681541,1492590699156,17615
100,0.216307629769339,-0.206702406606476,actlab,27,1492590699156,1492590702677,3521
100,0.189965227615198,-0.177291818088008,actlab,27,1492590702677,1492590709131,6454
100,0.20461211125078,-0.216766620589558,actlab,27,1492590709131,1492590716780,7649
100,0.231970855200667,-0.242054331912014,actlab,27,1492590716780,1492590728521,11741
100,0.192775144335084,-0.252664144290437,actlab,27,1492590728521,1492590735562,7041
100,0.23003700280654,-0.261481631772498,actlab,27,1492590735562,1492590744361,8799
100,0.192392020141262,-0.251293475656949,actlab,27,1492590744361,1492590747296,2935
100,0.160173144575367,-0.274301369906824,actlab,27,1492590747296,1492590749644,2348
100,0.18588442805623,-0.243961260421196,actlab,27,1492590749644,1492590759031,9387
100,0.215983756391402,-0.267407352964507,actlab,27,1492590759031,1492590766660,7629
100,0.174872005643048,-0.263897764175451,actlab,27,1492590766660,1492590769591,2931
100,0.208729614036117,-0.245959284619482,actlab,27,1492590769591,1492590776045,6454
100,0.23951716578616,-0.222120047580388,actlab,27,1492590776045,1492590810693,34648
100,0.211752538580039,-0.252432376607809,actlab,27,1492590810693,1492590816560,5867
100,0.211323461003948,-0.210688326817115,actlab,27,1492590816560,1492590817736,1176
100,0.189261533616321,-0.173120001242332,actlab,27,1492590817736,1492590819494,1758
100,0.205441866008686,-0.212592055220556,actlab,27,1492590819494,1492590826535,7041
100,0.210977727420804,-0.251133411953299,actlab,27,1492590826535,1492590838882,12347
100,0.206684367825092,-0.20720443314507,actlab,27,1492590838882,1492590842991,4109
100,0.222734460518064,-0.241584749213726,actlab,27,1492590842991,1492590845925,2934
100,0.185663712018681,-0.262845676476931,actlab,27,1492590845925,1492590850032,4107
100,0.211609366162902,-0.234173842475559,actlab,27,1492590850032,1492590879383,29351
100,0.248657337132435,-0.24537968082878,actlab,27,1492590879383,1492590893467,14084
100,0.213635107555686,-0.25828456401606,actlab,27,1492590893467,1492590925163,31696
100,0.188882866480422,-0.229952551576746,actlab,27,1492590925163,1492590966875,41712
100,0.210840806331471,-0.260617046305697,actlab,27,1492590966875,1492590977450,10575
100,0.173687720200498,-0.270691213656933,actlab,27,1492590977450,1492590981556,4106
100,0.198766161285425,-0.228329018815442,actlab,27,1492590981556,1492590987438,5882
100,0.238288533440689,-0.248781998227733,actlab,27,1492590987438,1492590996823,9385
100,0.254247250996123,-0.214417740991637,actlab,27,1492590996823,1492591000346,3523
100,0.258309554809629,-0.172297672289191,actlab,27,1492591000346,1492591003868,3522
100,0.206291453579552,-0.197846739779814,actlab,27,1492591003868,1492591009736,5868
100,0.195852282650797,-0.158650555037048,actlab,27,1492591009736,1492591012669,2933
100,0.216411429670306,-0.196481786252101,actlab,27,1492591012669,1492591016186,3517
100,0.206741331208018,-0.234220399736619,actlab,27,1492591016186,1492591029698,13512
100,0.180717756127517,-0.205099943010804,actlab,27,1492591029698,1492591031458,1760
100,0.207985507142904,-0.167583185679179,actlab,27,1492591031458,1492591034393,2935
100,0.223653172536258,-0.204351442423632,actlab,27,1492591034393,1492591040259,5866
100,0.184039748841654,-0.236495513423153,actlab,27,1492591040259,1492591044378,4119
100,0.159849768864261,-0.266573598378536,actlab,27,1492591044378,1492591052008,7630
100,0.203560474090648,-0.260362572206283,actlab,27,1492591052008,1492591074316,22308
100,0.170179655394784,-0.240228358115558,actlab,27,1492591074316,1492591080775,6459
100,0.215849747654124,-0.241186021792654,actlab,27,1492591080775,1492591092520,11745
100,0.188105421537117,-0.269473599029321,actlab,27,1492591092520,1492591107189,14669
100,0.208756300678694,-0.237678906435154,actlab,27,1492591107189,1492591113070,5881
100,0.179819882867014,-0.266156865668189,actlab,27,1492591113070,1492591114830,1760
100,0.218009269670379,-0.257826503300391,actlab,27,1492591114830,1492591134206,19376
100,0.177267781616682,-0.258230443878539,actlab,27,1492591134206,1492591138900,4694
100,0.223230991441402,-0.259030372515381,actlab,27,1492591138900,1492591183493,44593
100,0.202147102548813,-0.226518233250839,actlab,27,1492591183493,1492591189955,6462
100,0.164765974618939,-0.230026876799131,actlab,27,1492591189955,1492591194655,4700
100,0.13440708609162,-0.253137479504157,actlab,27,1492591194655,1492591199351,4696
100,0.18841947536065,-0.247948398770734,actlab,27,1492591199351,1492591205803,6452
100,0.226361877683167,-0.236036511693723,actlab,27,1492591205803,1492591231047,25244
100,0.203531781670914,-0.26644151804904,actlab,27,1492591231047,1492591235754,4707
100,0.164001507902088,-0.249857335507169,actlab,27,1492591235754,1492591237512,1758
100,0.190189529727945,-0.223354021469736,actlab,27,1492591237512,1492591249263,11751
100,0.232939177384884,-0.22032540961052,actlab,27,1492591249263,1492591260998,11735
100,0.224445174564714,-0.17845346396803,actlab,27,1492591260998,1492591273920,12922
100,0.230212678708494,-0.215197254499851,actlab,27,1492591273920,1492591308552,34632
100,0.218592083212491,-0.251404799346488,actlab,27,1492591308552,1492591354358,45806
100,0.18173712392099,-0.255667951747163,actlab,27,1492591354358,1492591376080,21722
100,0.215086034310373,-0.233299556013555,actlab,27,1492591376080,1492591395458,19378
100,0.231100492994498,-0.271232309817827,actlab,27,1492591395458,1492591409559,14101
100,0.192855748475708,-0.264417667272526,actlab,27,1492591409559,1492591414254,4695
100,0.236163458921413,-0.260516525621973,actlab,27,1492591414254,1492591437743,23489
100,0.208492806465044,-0.23505097672609,actlab,27,1492591437743,1492591464752,27009
100,0.237862621334228,-0.20982542522816,actlab,27,1492591464752,1492591470042,5290
100,0.217527684526566,-0.241675216695693,actlab,27,1492591470042,1492591550486,80444
100,0.187675563392185,-0.218180008587258,actlab,27,1492591550486,1492591558121,7635
100,0.212520569972213,-0.245715206054319,actlab,27,1492591558121,1492591569856,11735
100,0.180829732351646,-0.224134725635137,actlab,27,1492591569856,1492591588064,18208
100,0.193303106036044,-0.188145537183236,actlab,27,1492591588064,1492591590414,2350
100,0.206906194631333,-0.222850527663225,actlab,27,1492591590414,1492591627231,36817
100,0.241312744024048,-0.176585247483124,actlab,27,1492591627231,1492592000975,373744
100,0.190460321832294,-0.24042466132986,actlab,27,1492592000975,1492592001494,519
100,0.163169096020347,-0.274685681432774,actlab,27,1492592001494,1492592003057,1563
100,0.100325904098633,-0.20462091700048,actlab,27,1492592003057,1492592003650,593
100,0.0786784451380146,-0.151855208655091,actlab,27,1492592003650,1492592005469,1819
100,0.111501444867065,-0.17497381285274,actlab,27,1492592005469,1492592006702,1233
100,0.159012140293388,-0.196026389885162,actlab,27,1492592006702,1492592008561,1859
100,0.195077099736275,-0.210808019816573,actlab,27,1492592008561,1492592027752,19191
100,0.218146954464887,-0.247944476511126,actlab,27,1492592027752,1492592076574,48822
100,0.197247380081307,-0.211166982158181,actlab,27,1492592076574,1492592085225,8651
100,0.2106598541429,-0.246542304484185,actlab,27,1492592085225,1492592126151,40926
100,0.16129803162704,-0.255045792044546,actlab,27,1492592126151,1492592132926,6775
100,0.196144537291282,-0.242437158346133,actlab,27,1492592132926,1492592142804,9878
100,0.227905186586214,-0.222941249927285,actlab,27,1492592142804,1492592153942,11138
100,0.190722292615475,-0.224374282017035,actlab,27,1492592153942,1492592156408,2466
100,0.227111000554731,-0.21647264431321,actlab,27,1492592156408,1492592171839,15431
100,0.20137801224453,-0.248208989844895,actlab,27,1492592171839,1492592222485,50646
100,0.205253782904455,-0.285209002474046,actlab,27,1492592222485,1492592228672,6187
100,0.166962074541338,-0.277574177021026,actlab,27,1492592228672,1492592250831,22159
100,0.174174862560249,-0.239592450308119,actlab,27,1492592250831,1492592286286,35455
100,0.185923193375749,-0.275387713666506,actlab,27,1492592286286,1492592337680,51394
100,0.167953994296165,-0.239746615256682,actlab,27,1492592337680,1492592343785,6105
100,0.199299217922372,-0.261588428523196,actlab,27,1492592343785,1492592399399,55614
100,0.181692931446221,-0.228579071188405,actlab,27,1492592399399,1492592403684,4285
100,0.216802524354349,-0.25463477839914,actlab,27,1492592403684,1492592426296,22612
100,0.185184284072121,-0.231629034772682,actlab,27,1492592426296,1492592431795,5499
100,0.224452848545484,-0.235393715392122,actlab,27,1492592431795,1492592445273,13478
100,0.190009950210305,-0.254481135917877,actlab,27,1492592445273,1492592455058,9785
100,0.217487854857789,-0.224577284035449,actlab,27,1492592455058,1492592469754,14696
100,0.186062066983655,-0.246076619726711,actlab,27,1492592469754,1492592489923,20169
100,0.210504240014289,-0.211976667010862,actlab,27,1492592489923,1492592496646,6723
100,0.193602481005257,-0.246220583195068,actlab,27,1492592496646,1492592525969,29323
100,0.21864813364581,-0.217449670020989,actlab,27,1492592525969,1492592526569,600
100,0.178408873083209,-0.262230974695746,actlab,27,1492592526569,1492592598720,72151
100,0.203552584861537,-0.234044727605362,actlab,27,1492592598720,1492592640884,42164
100,0.190718116699893,-0.274126530461482,actlab,27,1492592640884,1492592653714,12830
100,0.18069296655041,-0.236471147956734,actlab,27,1492592653714,1492592676309,22595
100,0.187346084679917,-0.273397254498161,actlab,27,1492592676309,1492592680575,4266
100,0.152322793023633,-0.295653452855376,actlab,27,1492592680575,1492592686094,5519
100,0.185579653614488,-0.274050962074776,actlab,27,1492592686094,1492592701964,15870
100,0.195686961464991,-0.233979288246423,actlab,27,1492592701964,1492592706246,4282
100,0.162226669971364,-0.267822569625392,actlab,27,1492592706246,1492592734953,28707
100,0.20076877452355,-0.249334868295529,actlab,27,1492592734953,1492592825431,90478
100,0.238228625340904,-0.234047519967315,actlab,27,1492592825431,1492592837668,12237
100,0.200628969497333,-0.236089081489421,actlab,27,1492592837668,1492592847436,9768
100,0.174265064132563,-0.26561895797239,actlab,27,1492592847436,1492592855388,7952
100,0.170005887272865,-0.226605118404551,actlab,27,1492592855388,1492592866373,10985
100,0.201976834638078,-0.248073699980649,actlab,27,1492592866373,1492592882272,15899
100,0.234062687391281,-0.225567554606322,actlab,27,1492592882272,1492592898169,15897
100,0.196656188009359,-0.238715727764272,actlab,27,1492592898169,1492592933021,34852
100,0.231400105663644,-0.224789295156004,actlab,27,1492592933021,1492592951344,18323
100,0.194312560807719,-0.215648190818117,actlab,27,1492592951344,1492592986208,34864
100,0.180883303041004,-0.251367997254512,actlab,27,1492592986208,1492592990501,4293
100,0.201505221935839,-0.21726029804509,actlab,27,1492592990501,1492593015551,25050
100,0.166068905081121,-0.229724662927106,actlab,27,1492593015551,1492593029605,14054
100,0.192306424824124,-0.203402636384201,actlab,27,1492593029605,1492593033270,3665
100,0.198595930611624,-0.166586678966012,actlab,27,1492593033270,1492593036328,3058
100,0.171796660236328,-0.210955567433937,actlab,27,1492593036328,1492593043057,6729
100,0.203034802640409,-0.231901754358482,actlab,27,1492593043057,1492593057101,14044
100,0.164066190160465,-0.243297199670467,actlab,27,1492593057101,1492593062600,5499
100,0.205654769727198,-0.234427664260014,actlab,27,1492593062600,1492593090714,28114
100,0.170123735813672,-0.252095313282241,actlab,27,1492593090714,1492593091936,1222
100,0.178229433414187,-0.210888015093101,actlab,27,1492593091936,1492593097434,5498
100,0.200003114066905,-0.243105061121154,actlab,27,1492593097434,1492593118188,20754
100,0.15690464836139,-0.233020540966365,actlab,27,1492593118188,1492593130412,12224
100,0.202582538876352,-0.22551383169335,actlab,27,1492593130412,1492593146305,15893
