Checkpoint, Device, BeaconX, BeaconY
3, 2, -0.012627389084588554, 0.004593674737254193
3, 2, -0.009255472179816947, -0.0009657206645145731
3, 2, -0.0023721187998420423, 0.0029240293955130133
3, 2, -0.0038912525445861683, -0.0036941861280148794
5, 2, -0.009368568835405463, 0.017449637898485245
5, 2, -0.007925246080719447, 0.018614601307637934
6, 2, -0.009368568835405463, 0.017449637898485245
6, 2, -0.007925246080719447, 0.018614601307637934
6, 2, -0.011614933824765604, 0.017206962309040442
6, 2, -0.011219918694099704, 0.02465844868996844
6, 2, -0.006918944466814004, 0.014016835848794729
6, 2, -0.008590275113279793, 0.010076807407041642
6, 2, -0.003871182747962827, 0.02173726165636399
6, 2, -0.01518356686665839, 0.01669459076319103
7, 2, -0.026821332573496285, 0.011565631182348575
7, 2, -0.012627389084588554, 0.004593674737254193
8, 2, -0.026821332573496285, 0.011565631182348575
8, 2, -0.03138614749349507, -0.004726043946761938
9, 2, -0.026821332573496285, 0.011565631182348575
10, 2, -0.01518356686665839, 0.01669459076319103
10, 2, -0.02234615014262065, 0.030583577338460868
10, 2, -0.017881272084069692, 0.023126471766459784
10, 2, -0.028287693412256433, 0.029668318611291933
10, 2, -0.025844013782824526, 0.027491228952523903
10, 2, -0.03221329723426165, 0.02938733683789521
10, 2, -0.02900779472577093, 0.019076096605624256
10, 2, -0.03307805045533243, 0.025002670251104656
10, 2, -0.016951954582015396, 0.017790227777770583
11, 2, -0.01300927319906827, 0.034589587029481374
11, 2, -0.011219918694099704, 0.02465844868996844
12, 2, -0.01300927319906827, 0.034589587029481374
13, 2, -0.0220698561291293, 0.04097631515578233
13, 2, -0.022557070177440398, 0.04094981835258093
14, 2, -0.0220698561291293, 0.04097631515578233
14, 2, -0.022557070177440398, 0.04094981835258093
15, 2, -0.03221329723426165, 0.02938733683789521
15, 2, -0.030448002995506214, 0.034386095110334566
15, 2, -0.035426189468180005, 0.02647694288652373
15, 2, -0.037023637003291, 0.01981540887734252
15, 2, -0.02900779472577093, 0.019076096605624256
15, 2, -0.03307805045533243, 0.025002670251104656
15, 2, -0.03673558586620596, 0.03136374285296354
15, 2, -0.03580850524246502, 0.026635464764406976
16, 2, -0.035426189468180005, 0.02647694288652373
16, 2, -0.037023637003291, 0.01981540887734252
16, 2, -0.03580850524246502, 0.026635464764406976
17, 2, -0.053975697711097836, 0.015186723676933063
17, 2, -0.05184407780603902, 0.018090298492698834
18, 2, -0.06780485271871653, 0.03332002899754432
19, 2, -0.06099945744307965, 0.04923885033412346
19, 2, -0.05839261066782287, 0.04953254273726157
20, 2, -0.01737383909577573, 0.06710825454735045
21, 2, 0.002916004489756623, 0.08524926453137868
21, 2, 0.008717361112776942, 0.08682623890517396
22, 2, 0.008363621693112102, 0.09924599823219864
